ID,Title,Year,Rating,Rank
6c5299ad-b11d-461e-91cd-bcb83e8cb1ec,L'Atalante,1934,7.7,155
11cc13b1-da8b-46ea-b0d9-d06b8e6ff7ab,Spotlight,2015,8.1,156
83da9f0c-13f2-4f0a-adae-9efe195634cd,The Red Shoes,1948,8.1,157
a871491a-8741-4b88-a3f1-d05c35d6d4a8,Sweet Smell of Success,1957,8,158
1e8a0ea4-d61d-4ecd-8f91-3bc235bf9fe1,The Heiress,1949,8.1,159
1597392d-5529-444c-93f4-99a980ef14c7,Early Summer,1951,8.1,160
514b56a0-6447-43ed-8be8-e4957ce6a6ab,Witness for the Prosecution,1957,8.4,161
f36f2d54-906d-4b53-95be-3cdf559bee3d,The Crowd,1928,8.1,162
2aeffdb5-4c32-42a7-a74b-1418bd8cc314,12 Years a Slave,2013,8.1,163
a60bb406-3130-42ec-a6fc-5ad05a3e8b3b,The Apartment,1960,8.3,164
ee4ba20e-165c-4a54-b995-100e3a85c0fb,Nosferatu,1922,7.9,165
b92b20b1-0a19-4003-96d2-fc44d06f9757,His Girl Friday,1940,7.8,166
ffc65390-ac71-4fbe-86b7-67bda9af0787,Out 1,1971,7.5,167
e18c4fd9-932f-44ba-87ec-a0afe335a9b7,Boyhood,2014,7.9,168
f7e06315-b172-4c01-95f9-dd55a90e7ea5,Shoplifters,2018,7.9,169
f4f8d239-975b-4f43-833a-32e1bb973c02,28 Up,1984,8.2,170
28b97c9d-0600-47f8-afa7-f7e61063594a,Notorious,1946,7.9,171
2da3a081-9038-41f3-a898-34cb63254c24,The Phantom Carriage,1921,8,172
de7c4997-1fbd-4b86-92a6-604dedb5500b,Harlan County U.S.A.,1976,8.2,173
4ed6f1cd-a564-4797-b064-80ae63dd0def,Napoleon,1927,8.2,174
46b63ccb-397b-45d7-8762-687e99166792,Jaws,1975,8.1,175
3662aee4-0b37-4fdf-914c-eb0a8ae0cf61,Whiplash,2014,8.5,176
096ca652-e70f-41b1-b09d-e8fb68005a84,Stagecoach,1939,7.8,177
bcd77a18-bd0e-4b7c-a7a5-f9f39f9150a1,Come and See,1985,8.4,178
7f4bd6cb-1b42-4a80-993d-31b4586d1b9d,Pan's Labyrinth,2006,8.2,179
58f6c3b4-d5a8-41dd-abff-16586d2c2890,Le Samouraï,1967,8,180
35e5b41f-1844-427d-a62b-7675624a1605,The Spirit of the Beehive,1973,7.8,181
4f5febd7-51b9-4adf-8066-b9ed7fe9de89,Viridiana,1961,8.1,182
9ef19d3d-df0f-4f8e-b0bd-8e8bb65e7104,Forbidden Games,1952,8,183
0ec4911b-8b3c-4190-a52d-49c99e1e4fd1,The Life of Oharu,1952,8.1,184
875fb59e-8c8f-4229-829e-a96e9291ed6b,Laura,1944,7.9,185
d1ed9651-441c-43e8-b4f0-a30303b3c133,The Best Years of Our Lives,1946,8.1,186
7e317266-f8a9-489f-ba51-3ca2bd027843,Holiday,1938,7.7,187
6017d41f-4c56-4a9a-b53b-1c24ab822807,Breathless,1960,7.7,188
010fbadd-b5b2-4963-98a4-85989ca9c7f2,Tampopo,1985,7.9,189
98e4c67a-a5a5-449a-a46c-a639a18cb5eb,Werckmeister Harmonies,2000,8,190
0aefa90f-874a-4503-9b4e-0c455803363d,Through a Glass Darkly,1961,7.9,191
2c240d91-f87a-4cb6-bf93-36c2fdce9d05,Edvard Munch,1974,8.2,192
ca349cf3-f83d-443b-a1d7-4b022e51ecaa,Duck Soup,1933,7.7,193
85e91dee-7f1f-4cc1-99fd-7ee938fc325a,Jules and Jim,1962,7.7,194
0b7499c4-d2a1-42ab-bebb-37832f9c654d,Badlands,1973,7.7,195
d72ab682-d085-4d9f-87c3-c3d363cfc5b9,The Thin Man,1934,7.9,196
2baab37a-5d84-407e-9791-2e41fc18b500,"Jeanne Dielman, 23, quai du commerce, 1080 Bruxelles",1975,7.5,197
ab4d40b3-7f60-4208-9135-22b695e9a02d,El Sur,1983,7.8,198
84d58bae-3078-4b89-a3b1-fd6ff505fc07,Rio Bravo,1959,8,199
a5d1ddec-19bc-4bcd-9d3c-8faf554b22ff,Sullivan's Travels,1941,7.9,200
1effb691-6c05-41ab-a8cd-280886194665,La La Land,2016,8,401
1a156be9-747a-49bf-93c7-15b1563fb89b,The King's Speech,2010,8,402
135c6ea9-04cf-4930-a41d-f5ecafc04605,The Handmaiden,2016,8.1,403
18184fe3-6872-48d8-b2e4-cc281a9cd614,Network,1976,8.1,404
3ac74167-4cc3-4354-917c-a76273b0f623,Secrets & Lies,1996,8,405
52baa267-ff05-452e-a37c-6a7acecc47ba,The Salt of the Earth,2014,8.4,406
027fc041-3189-4957-a8c3-96768964e1f9,The Man Who Shot Liberty Valance,1962,8.1,407
3e9475a9-9c6e-4472-b561-075fa76d215f,Raise the Red Lantern,1991,8.1,408
1d8cd633-6d6a-4c25-96fd-557b30cb275d,Divorce Italian Style,1961,8,409
9ce598ff-67b6-4023-996c-e289268ec3b1,City of God,2002,8.6,410
22621202-a35a-43fa-ba1d-e4e44d4b9123,Autumn Sonata,1978,8.1,411
6ac8278f-c9ed-4a2c-8b75-a53c958400cd,Germany Year Zero,1948,7.8,412
801d4c9e-663c-464a-a15a-d33ab2bef7df,Burden of Dreams,1982,7.9,413
73931978-234f-45c3-b724-8ff055d58efa,Amour,2012,7.9,414
e0735768-5158-4685-9d81-a05f6ebfdeee,Poetry,2010,7.8,415
9de1ea8e-bb2c-407b-81a5-d9c0e9f21d75,Wake in Fright,1971,7.6,416
792c50a5-cb1f-4703-a818-61ed7273347b,Bringing Up Baby,1938,7.8,417
